order,num_observations,auto_arima_true_count,"auto_arima_false_count","least_p_true_count","least_p_false_count","refit_avg_rmse_least_p_model","avg_rmse_least_p_model_values","refit_avg_rmse_auto_arima", "avg_rmse_auto_arima_model",refit_avg_insig_params_least_p_model,"avg_insig_params_least_p_model",refit_avg_insig_params_auto_arima_model,"avg_insig_params_auto_arima_model"
2 0 3,300,26,74,20,80, NA ,1.67759206201767,"NA
","1.68604069663159
	",,2.89,,0.65
2 0 3,300,2,8,3,7, NA,1.48177793968841,NA			,1.52561461965304,,3,,0.3
2 0 3, 300,1,9,2,8, NA,1.9105500359087,NA			,1.91632376465193,,3.1,,0.5
2 0 3, 300,3,7,4,6, NA,1.56754470606794,NA			,1.55851388105443,,2.3,,0.7
2 0 3, 300,4,6,3,7, NA,1.57491623407086,NA			,1.62006618508695,,2.5,,0.7
2 0 3, 300,3,7,3,7, NA, 1.67964636061172,NA			,1.67111635441711,,2.4,,0.6
2 0 3, 300,3,7,2,8,NA,1.60165310472955,NA			,1.60808673898851,,2.6,,0.6
2 0 3, 300,33,67,21,79,NA,1.65188805564195,NA			,1.67781985410091,,2.78,,0.8
2 0 3, 300,12,38,15,35,NA,1.71073306289804,NA			,1.73389677894725,,2.82,,0.68
2 0 3,300,1,4,0,5,NA,1.69935025319343,NA			,1.6389680177377,,3.4,,1
2 0 3,300,3,2,0,5,NA,1.56088904959895,NA			,1.56612757666066,,2.8,,0.6
2 0 3,300,2,3,1,4,NA,1.61255451987002,NA			,1.58315141776545,,2.8,,0.4
2 0 3,300,3,2,0,5,NA,1.65920235807917,NA			,1.621691193978,,3.4,,0.4
2 0 3,300,1,4,0,5,NA,1.67387598610982,NA			,1.80423143779258,,3.6,,0.8
1 0 2,300,0,5,0,5,NA,1.37063223339544,NA			,1.47242198714374,,2.6,,0.8
1 0 2,300,7,13,0,20,NA,1.16425286872251,NA			,1.15642218208903,,2.6,,0.7
1 0 2,300,5,15,1,19,NA,1.18912522457658,NA			,1.20024643051621,,2.7,,0.65
1 0 2,300,5,15,2,18,NA,1.23799913703676,NA			,1.248166339628,,2.25,,0.55
