actual_order,num_obser,auto_arima_true_count,auto_arima_false_count,least_p_true_count,least_p_false_count,refit_avg_rmse_least_p_model,avg_rmse_least_p_model_values,refit_avg_rmse_auto_arima,avg_rmse_auto_arima_model,refit_avg_insig_params_least_p_model,avg_insig_params_least_p_model,refit_avg_insig_params_auto_arima_model,avg_insig_params_auto_arima_model
3 0 4,300,0,3,0,3,1.58038491542918,1.61000148252661,1.89822143276421,1.94728230974496,0,1.66666666666667,1,1.33333333333333
4 0 4,300,0,10,0,10,1.81582714662755,1.85358420027998,1.78204202997825,1.78434627139511,0.2,1.6,1,0.3
4 0 4,300,0,15,0,15,1.44139973819333,1.47520685596862,1.5533315688217,1.5743297703469,0.466666666666667,1.86666666666667,1.46666666666667,0.866666666666667
4 0 4,300,0,15,0,15,2.18702154991052,2.2490715908257,2.19042513956514,2.25447706869197,0.266666666666667,1.86666666666667,1.13333333333333,0.733333333333333
2 0 1,300,3,12,2,13,1.11493779111006,1.11638363463756,1.12123891766299,1.12605356277512,0.733333333333333,2.33333333333333,1.26666666666667,0.4
4 0 3,300,0,15,0,15,1.5068907085915,1.52183437107014,1.52380602830936,1.5258242839566,0.333333333333333,1.86666666666667,1.46666666666667,0.8
3 0 3,300,0,15,8,7,1.38019673185994,1.4584698215837,1.4357558935494,1.46287646672518,0.466666666666667,2.46666666666667,1.06666666666667,0.8
5 0 1,300,3,12,1,14,1.39157546291903,1.38133263931224,1.46111121758096,1.47476202751981,0.466666666666667,1.6,1,0.466666666666667
4 0 3,300,6,14,1,19,1.41708596128242,1.42007863774143,1.51787548539192,1.47561259835931,0.45,1.85,0.95,0.8
4 0 3,300,2,18,2,18,1.58244479361864,1.59720296207652,1.59232669564927,1.58328461608625,0.1,2.05,1.15,0.6
1 0 1,300,5,15,1,19,1.30613212523964,1.32574940861749,1.33384699493858,1.33751339121287,0.2,2.3,1.05,0.9
0 0 5,300,8,12,1,19,1.31183383054113,1.32509329238227,1.34398262459499,1.34780441082715,0.35,2.25,1.35,0.9
5 0 5,300,2,18,1,19,1.38862054366295,1.41869602222234,1.4613768340759,1.48422604242491,0.5,2.1,1.3,0.6
3 0 0,300,5,15,1,19,1.34120311959502,1.32600446373997,1.33960272168292,1.36156057636023,0.35,2.15,1.55,0.7
2 0 3,300,2,18,2,18,1.52819203011003,1.5140949518941,1.57256903099237,1.60426736929853,0.5,2.35,1.35,0.45
0 0 2,300,2,18,0,20,1.65239653164662,1.6476637471839,1.67946032141424,1.73584129114974,0.7,1.9,1.3,0.75
1 0 1,300,4,16,1,19,1.10824662422691,1.13296370328714,1.16025729958785,1.1949564650355,0.4,2.15,1.05,0.7
0 0 3,300,8,12,3,17,1.18144485327896,1.21272813377902,1.18301914662779,1.19265266509212,1.15,2.9,1.45,0.75
1 0 4,300,5,15,0,20,1.4537707013181,1.45417411756557,1.47502422553787,1.47580982208503,0.3,2.55,1.2,0.55
0 0 2,300,3,17,0,20,1.52210283116274,1.53326655835615,1.4922639506013,1.54317135052753,0.35,2,1.15,0.7
5 0 3,300,3,17,0,20,1.15652228253995,1.17475006106157,1.24992051954044,1.24615437606309,0.4,2.4,1.1,0.75
1 0 2,300,2,18,0,20,1.80297166408257,1.85657907071727,1.81489679550025,1.89842568408111,0.45,2.4,1.35,0.7
1 0 1,300,6,14,0,20,1.25287873762695,1.26157094121698,1.29220633550458,1.28091307594062,0.55,2.8,1,0.8
4 0 0,300,3,17,0,20,1.77169832990905,1.71498745225956,1.53487756401064,1.719782709128,0.15,2.15,1.15,0.4
3 0 0,300,3,17,0,20,1.39125087371529,1.45495905810944,1.48266954718014,1.55116955233864,0.3,2.45,1.1,0.7
1 0 3,300,2,18,1,19,1.23376807582611,1.26316913801796,1.2786927177989,1.28086507559236,0.65,3.25,1.35,0.7
0 0 1,300,3,17,1,19,1.4910214661666,1.48356141286393,1.48323642027004,1.44884077213655,0.3,1.85,1.05,0.75
1 0 0,300,3,17,0,20,1.23182541864216,1.25098723526276,1.19547996755907,1.21218664111285,1,2.65,1.3,1.05
1 0 2,300,6,14,0,20,1.22909857408888,1.24761033782726,1.18118844020787,1.30195571077996,0.45,3.35,1.55,0.65
3 0 2,300,2,18,1,19,1.34799887990944,1.32865389611327,1.39283863846569,1.39946880809995,0.6,2.5,0.95,0.75
2 0 3,300,2,18,1,19,1.37989118631939,1.38269051771898,1.42847696906986,1.41001384013992,0.45,2.55,1.15,0.55
0 0 5,300,5,15,0,20,1.26844704286535,1.28606182212712,1.31961851488115,1.36277224684154,0.2,2.2,1.05,0.8
5 0 0,300,4,16,3,17,1.33105833477763,1.38837406251646,1.30030056768237,1.3369942940362,0.35,2.35,1.2,0.65
4 0 2,300,3,17,1,19,2.03189819080357,2.03464373936385,2.0890512452302,2.06569155044073,0.55,2.1,1.25,0.7
2 0 3,300,6,14,1,19,1.22032300646593,1.21368704606237,1.18993638052399,1.22130876831268,1,2.3,1.1,0.65
2 0 1,300,4,16,0,20,1.24757880326215,1.26928045664254,1.29133530746317,1.30106122676544,0.1,2.75,1.3,0.9
1 0 4,300,3,17,0,20,1.33566086228945,1.35009046979603,1.44728022901099,1.42919886969249,0.55,2.3,1,0.85
5 0 3,300,1,19,1,19,1.28474509893981,1.30316290937445,1.35567794084362,1.36922201835658,0.15,2.3,1.25,0.7
3 0 4,300,2,18,1,19,1.74637218671438,1.76965739115416,1.79762841919407,1.79942526795621,0.65,2.25,1.4,0.6
