actual_order,num_obser,auto_arima_true_count,auto_arima_false_count,least_p_true_count,least_p_false_count,refit_avg_rmse_least_p_model,avg_rmse_least_p_model_values,refit_avg_rmse_auto_arima,avg_rmse_auto_arima_model,refit_avg_insig_params_least_p_model,avg_insig_params_least_p_model,refit_avg_insig_params_auto_arima_model,avg_insig_params_auto_arima_model,avg_sw_p_value	,avg_lbq_p_value,avg_t_test_p_value,avg_validation_score
5 0 1,300,1,10,0,11,1.55881909776213,1.54168497249338,1.55027944151575,1.55918929609041,0.272727272727273,2.36363636363636,1.09090909090909,0.454545454545455,0.450576484461773,0.410781713146103,0.515755318995957,0.818181818181818
5 0 5,300,4,7,0,11,1.38024323555835,1.37221237079425,1.38085325210706,1.4978379289408,0,2.45454545454545,1,0.545454545454545,0.580580278282995,0.491317447275332,0.664655214325937,1
3 0 1,300,4,7,0,11,1.4638761286562,1.46797656389091,1.84932682709406,1.91601107969732,0.272727272727273,1.90909090909091,1.63636363636364,0.818181818181818,0.449590090964971,0.681926872138077,0.637601103302897,0.909090909090909
2 0 3,300,0,11,0,11,1.03424695627309,1.03140022554895,1.07412334436584,1.07070066317039,0.272727272727273,2.27272727272727,1.09090909090909,0.272727272727273,0.58133747863121,0.552593953456994,0.596297585595655,0.909090909090909
4 0 3,300,1,10,0,11,1.21867028616875,1.22410190058781,1.24149377287816,1.25451819476817,0.272727272727273,2.45454545454545,1.54545454545455,0.909090909090909,0.390977413583389,0.420382473097586,0.633831957079433,0.909090909090909
5 0 0,300,3,8,1,10,1.53092332587328,1.52541532217066,1.49151726024347,1.4626930936132,0.272727272727273,2,1.18181818181818,0.181818181818182,0.629280983125898,0.479250212393838,0.502847908060559,0.818181818181818
5 0 3,300,3,12,0,15,1.24127167039574,1.25102561723248,1.34120296048837,1.32109627912493,0.8,2.4,1.46666666666667,1.06666666666667,0.520210086668543,0.68268100224414,0.590802691845427,1
3 0 1,300,2,13,1,14,1.38683760830975,1.38108382469968,1.39074912563109,1.4201336912567,0.333333333333333,2.2,1.26666666666667,0.533333333333333,0.56117090659372,0.53145385340223,0.677508105602346,0.8
4 0 1,300,4,11,0,15,0.97894552197914,0.976967787249206,1.04977078616602,1.06724187468537,0.133333333333333,2.6,1.33333333333333,0.466666666666667,0.392047403197043,0.665461493730203,0.570960950091233,0.866666666666667
4 0 0,300,2,13,1,14,1.25118014710587,1.2448620632405,1.285156837906,1.26076048692111,0.333333333333333,1.86666666666667,0.866666666666667,0.733333333333333,0.588531553631391,0.652784679332796,0.640924114144844,0.866666666666667
1 0 0,300,1,14,2,13,1.23735731396815,1.28196500056543,1.41658885203945,1.44954825161179,0.6,2,1.26666666666667,0.666666666666667,0.638295306357467,0.70795399424627,0.619199416828524,0.8
5 0 5,300,5,10,0,15,1.18667762195186,1.18899817215412,1.21077195207174,1.23222825893328,0.266666666666667,2.06666666666667,1.46666666666667,0.933333333333333,0.444191609566169,0.584531838555384,0.601553954310164,0.866666666666667
2 0 0,300,0,15,0,15,1.27843073684556,1.28180843525481,1.29433408953371,1.2688368523554,0.0666666666666667,2.13333333333333,1.2,0.6,0.553330105567281,0.654437055524177,0.610389040570395,0.866666666666667
3 0 5,300,5,10,1,14,1.80361301923529,1.77849192470929,1.77504198853946,1.80383563628353,0.266666666666667,2.33333333333333,1.26666666666667,0.466666666666667,0.483488569320714,0.603835516624276,0.614015949993905,0.733333333333333
4 0 5,300,2,13,0,15,1.28187832006118,1.31103539332245,1.32344853573385,1.38964190173381,0.666666666666667,2.4,1.2,0.733333333333333,0.577276597283333,0.529043137427532,0.558873850585137,0.8
