actual_order,num_obser,auto_arima_true_count,auto_arima_false_count,least_p_true_count,least_p_false_count,refit_avg_rmse_least_p_model,avg_rmse_least_p_model_values,refit_avg_rmse_auto_arima,avg_rmse_auto_arima_model,refit_avg_insig_params_least_p_model,avg_insig_params_least_p_model,refit_avg_insig_params_auto_arima_model,avg_insig_params_auto_arima_model,avg_sw_p_value	,avg_lbq_p_value,avg_t_test_p_value,avg_validation_score
4 1 4,300,1,19,0,20,7.62641642886649,9.27089165067773,8.35608993981294,9.35343221925965,0.8,1.4,0.35,0.6,0.498457738413755,0.419230558506537,0.571640344544961,0.7
5 1 2,300,0,10,0,10,4.66435814618536,5.16782553286742,4.78856625403563,5.16192860264579,0.7,2.5,0.6,1.3,0.563974072650084,0.709940005112049,0.734517563705342,0.9
2 1 4,300,0,10,0,10,18.0252539185639,18.0275184629154,18.0342052828432,18.1039874532967,0.5,1,0.3,0.4,0.705811721318468,0.560288780381743,0.614268526326922,0.8
3 1 3,300,0,10,0,10,9.91719032881853,9.97926262267838,10.158250721892,9.9862037617289,0.7,0.9,0.6,1,0.619693227096863,0.553773223374448,0.44079470615822,0.8
5 1 1,300,3,7,1,9,6.04028699681931,6.04531546554287,5.95427948694637,6.04317642069116,0.4,1.4,0.4,0.4,0.48897162743193,0.48374285564655,0.625829682304295,0.8
5 1 1,300,2,18,1,19,8.80107473721531,8.80526923612597,8.67005419907844,8.74271407520912,0.45,1.7,0.55,0.8,0.546798712860162,0.552262556856972,0.623516575680717,0.8
2 1 5,300,4,16,0,20,9.14126309317927,9.13775181289649,9.12948928880242,9.14497490972575,0.55,1.45,0.3,0.65,0.532354921184699,0.540390754243066,0.548890067699307,0.9
5 1 5,300,5,15,4,16,7.03361143340036,6.99269783669345,7.00063499696994,7.02215160303267,0.45,1.8,0.75,0.75,0.458767510658355,0.623766885957247,0.672824434851297,0.85
0 1 3,300,4,16,0,20,10.484957882599,10.4412510410191,10.4795291297436,10.4784498878469,0.3,1.25,0.5,1.05,0.508105194010276,0.802982755776455,0.642895490033642,0.95
2 1 4,300,5,15,1,19,8.47554482908671,8.46553472222109,8.53302286581716,8.49923631515076,0.5,1.4,0.4,0.7,0.482762339123841,0.653192854005624,0.734818861590565,0.85
3 1 4,300,3,17,0,20,21.7331927342509,21.7500308044584,21.6171323373129,21.5715838973363,0.55,1.85,0.3,0.7,0.376734162355591,0.472299781653412,0.639760091089006,0.8
1 1 3,300,4,16,0,20,11.9955275555367,12.0561156303261,12.0626134721446,12.1947956667459,0.45,1.85,0.3,0.6,0.387194819169691,0.69470130593469,0.713616606380584,0.85
2 1 0,300,1,19,0,20,19.2747097686228,19.2860300765897,19.2525208231337,19.2950423517032,0.4,1.85,0.5,0.55,0.411973266691311,0.552717612599292,0.69108614311325,0.8
1 1 5,300,2,18,1,19,10.2837020594936,10.2671494504559,10.1188087733023,10.1434807452898,0.25,1.7,0.3,0.7,0.507551904450762,0.555749264106396,0.603209601165431,0.7
0 1 5,300,5,15,1,19,10.0524779829774,10.1238559642746,10.0019237148025,9.96850207428364,1.1,1,0.45,0.55,0.568779826601969,0.549748935110844,0.560910716077415,0.8
4 1 1,300,3,17,1,19,8.6746029873772,8.73674199758234,8.69596247255277,8.71874545951771,0.4,1.65,0.45,0.7,0.441045649716811,0.736376930210523,0.564899897093199,0.9
1 1 2,300,3,17,1,19,17.9549561825358,18.1274570182761,18.1805571165841,18.2038423632556,0.3,1.85,0.35,0.6,0.42759899308797,0.720279267333343,0.773322434802728,0.85
1 1 1,300,1,19,0,20,5.00259551119122,4.9865141342422,4.92964988490682,4.97140013130655,0.1,1,0.2,0.45,0.486179158944126,0.61586306195315,0.650738282047741,0.75
1 1 5,300,5,15,1,19,9.03515941067554,8.99970988279253,8.95160794440003,8.90427786496768,0.4,2.45,0.4,0.8,0.46942792691017,0.675540273674054,0.514804437877146,0.85
